R,G,B,R_out,G_out,B_out
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0625,-0.0083794375,0.00201975,0.0616375
0.0,0.0,0.125,-0.016758875,0.0040395,0.123275
0.0,0.0,0.1875,-0.0251383125,0.0060592499999999995,0.18491249999999998
0.0,0.0,0.25,-0.03351775,0.008079,0.24655
0.0,0.0,0.3125,-0.0418971875,0.01009875,0.3081875
0.0,0.0,0.375,-0.050276625,0.012118499999999999,0.36982499999999996
0.0,0.0,0.4375,-0.058656062499999995,0.014138249999999998,0.43146249999999997
0.0,0.0,0.5,-0.0670355,0.016158,0.4931
0.0,0.0,0.5625,-0.0754149375,0.01817775,0.5547375
0.0,0.0,0.625,-0.083794375,0.0201975,0.616375
0.0,0.0,0.6875,-0.0921738125,0.022217249999999997,0.6780125
0.0,0.0,0.75,-0.10055325,0.024236999999999998,0.7396499999999999
0.0,0.0,0.8125,-0.1089326875,0.02625675,0.8012874999999999
0.0,0.0,0.875,-0.11731212499999999,0.028276499999999996,0.8629249999999999
0.0,0.0,0.9375,-0.1256915625,0.030296249999999997,0.9245625
0.0,0.0,1.0,-0.134071,0.032316,0.9862
0.0,0.0625,0.0,0.033035,0.050772875,0.0014485
0.0,0.0625,0.0625,0.024655562500000002,0.052792625,0.063086
0.0,0.0625,0.125,0.016276125000000002,0.054812375,0.1247235
0.0,0.0625,0.1875,0.007896687500000003,0.056832125000000004,0.18636099999999997
0.0,0.0625,0.25,-0.00048274999999999707,0.058851875,0.24799849999999998
0.0,0.0625,0.3125,-0.0088621875,0.060871625,0.309636
0.0,0.0625,0.375,-0.017241624999999997,0.062891375,0.3712735
0.0,0.0625,0.4375,-0.025621062499999993,0.064911125,0.432911
0.0,0.0625,0.5,-0.034000499999999996,0.066930875,0.4945485
0.0,0.0625,0.5625,-0.0423799375,0.068950625,0.556186
0.0,0.0625,0.625,-0.050759375,0.070970375,0.6178235
0.0,0.0625,0.6875,-0.05913881249999999,0.072990125,0.679461
