R,G,B,R_out,G_out,B_out
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0625,-0.007397,0.00320825,0.0636934375
0.0,0.0,0.125,-0.014794,0.0064165,0.127386875
0.0,0.0,0.1875,-0.022191,0.009624750000000001,0.19108031250000002
0.0,0.0,0.25,-0.029588,0.012833,0.25477375
0.0,0.0,0.3125,-0.036985,0.01604125,0.3184671875
0.0,0.0,0.375,-0.044382,0.019249500000000003,0.38216062500000003
0.0,0.0,0.4375,-0.051779,0.022457750000000002,0.44585406250000004
0.0,0.0,0.5,-0.059176,0.025666,0.5095475
0.0,0.0,0.5625,-0.066573,0.02887425,0.5732409375
0.0,0.0,0.625,-0.07397,0.0320825,0.636934375
0.0,0.0,0.6875,-0.081367,0.03529075,0.7006278125000001
0.0,0.0,0.75,-0.088764,0.038499000000000005,0.7643212500000001
0.0,0.0,0.8125,-0.096161,0.04170725,0.8280146875000001
0.0,0.0,0.875,-0.103558,0.044915500000000004,0.8917081250000001
0.0,0.0,0.9375,-0.110955,0.04812375,0.9554015625000001
0.0,0.0,1.0,-0.118352,0.051332,1.019095
0.0,0.0625,0.0,0.0362089375,0.0541325625,-0.0007474375
0.0,0.0625,0.0625,0.028811937500000002,0.057340812500000005,0.062946
0.0,0.0625,0.125,0.0214149375,0.0605490625,0.1266394375
0.0,0.0625,0.1875,0.014017937500000004,0.0637573125,0.190332875
0.0,0.0625,0.25,0.0066209375000000036,0.0669655625,0.2540263125
0.0,0.0625,0.3125,-0.0007760624999999938,0.0701738125,0.31771975
0.0,0.0625,0.375,-0.008173062499999995,0.07338206250000001,0.38141318750000003
0.0,0.0625,0.4375,-0.015570062499999995,0.07659031250000001,0.44510662500000003
0.0,0.0625,0.5,-0.022967062499999996,0.0797985625,0.5088000625000001
0.0,0.0625,0.5625,-0.03036406249999999,0.0830068125,0.5724935000000001
0.0,0.0625,0.625,-0.03776106249999999,0.0862150625,0.6361869375000001
0.0,0.0625,0.6875,-0.04515806249999999,0.0894233125,0.6998803750000001
0.0,0.0625,0.75,-0.05255506249999999,0.09263156250000001,0.7635738125000001
0.0,0.0625,0.8125,-0.05995206249999999,0.09583981250000001,0.8272672500000001
