R,G,B,R_out,G_out,B_out
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0625,-0.001815625,0.0015376875,0.055141625
0.0,0.0,0.125,-0.00363125,0.003075375,0.11028325
0.0,0.0,0.1875,-0.005446875,0.0046130625,0.165424875
0.0,0.0,0.25,-0.0072625,0.00615075,0.2205665
0.0,0.0,0.3125,-0.009078125,0.0076884375,0.27570812499999997
0.0,0.0,0.375,-0.01089375,0.009226125,0.33084975
0.0,0.0,0.4375,-0.012709375,0.0107638125,0.385991375
0.0,0.0,0.5,-0.014525,0.0123015,0.441133
0.0,0.0,0.5625,-0.016340625,0.013839187499999999,0.49627462499999997
0.0,0.0,0.625,-0.01815625,0.015376875,0.5514162499999999
0.0,0.0,0.6875,-0.019971875,0.0169145625,0.606557875
0.0,0.0,0.75,-0.0217875,0.01845225,0.6616995
0.0,0.0,0.8125,-0.023603125,0.0199899375,0.716841125
0.0,0.0,0.875,-0.02541875,0.021527625,0.77198275
0.0,0.0,0.9375,-0.027234374999999998,0.0230653125,0.827124375
0.0,0.0,1.0,-0.02905,0.024603,0.882266
0.0,0.0625,0.0,0.008333125,0.0590875,0.0065441875
0.0,0.0625,0.0625,0.006517500000000001,0.060625187500000004,0.0616858125
0.0,0.0625,0.125,0.004701875,0.062162875,0.11682743749999999
0.0,0.0625,0.1875,0.00288625,0.0637005625,0.1719690625
0.0,0.0625,0.25,0.0010706250000000004,0.06523825,0.2271106875
0.0,0.0625,0.3125,-0.0007449999999999991,0.06677593750000001,0.2822523125
0.0,0.0625,0.375,-0.0025606250000000004,0.068313625,0.3373939375
0.0,0.0625,0.4375,-0.00437625,0.0698513125,0.39253556250000005
0.0,0.0625,0.5,-0.0061918749999999995,0.07138900000000001,0.4476771875
0.0,0.0625,0.5625,-0.0080075,0.0729266875,0.5028188124999999
0.0,0.0625,0.625,-0.009823124999999999,0.074464375,0.5579604374999999
0.0,0.0625,0.6875,-0.01163875,0.0760020625,0.6131020625
0.0,0.0625,0.75,-0.013454375000000001,0.07753975,0.6682436875
0.0,0.0625,0.8125,-0.015269999999999999,0.0790774375,0.7233853124999999
0.0,0.0625,0.875,-0.017085625,0.08061512500000001,0.7785269375
0.0,0.0625,0.9375,-0.018901249999999998,0.0821528125,0.8336685625
0.0,0.0625,1.0,-0.020716875,0.0836905,0.8888101875
0.0,0.125,0.0,0.01666625,0.118175,0.013088375
0.0,0.125,0.0625,0.014850625000000001,0.1197126875,0.06823
0.0,0.125,0.125,0.013035000000000001,0.12125037500000001,0.123371625
0.0,0.125,0.1875,0.011219375,0.1227880625,0.17851325
0.0,0.125,0.25,0.00940375,0.12432575,0.23365487499999998
0.0,0.125,0.3125,0.007588125000000001,0.1258634375,0.28879649999999996
0.0,0.125,0.375,0.0057725,0.127401125,0.343938125
0.0,0.125,0.4375,0.003956875,0.1289388125,0.39907975
0.0,0.125,0.5,0.002141250000000001,0.1304765,0.454221375
0.0,0.125,0.5625,0.0003256249999999995,0.1320141875,0.509363
0.0,0.125,0.625,-0.0014899999999999983,0.13355187500000001,0.564504625
0.0,0.125,0.6875,-0.0033056249999999995,0.1350895625,0.6196462500000001
0.0,0.125,0.75,-0.005121250000000001,0.13662725,0.674787875
0.0,0.125,0.8125,-0.006936874999999999,0.1381649375,0.7299295
0.0,0.125,0.875,-0.0087525,0.139702625,0.7850711250000001
0.0,0.125,0.9375,-0.010568124999999998,0.1412403125,0.8402127500000001
0.0,0.125,1.0,-0.012383749999999999,0.14277800000000002,0.895354375
0.0,0.1875,0.0,0.024999375,0.1772625,0.0196325625
0.0,0.1875,0.0625,0.02318375,0.17880018749999999,0.0747741875
0.0,0.1875,0.125,0.021368125,0.18033787499999998,0.1299158125
0.0,0.1875,0.1875,0.0195525,0.18187556249999998,0.1850574375
0.0,0.1875,0.25,0.017736875,0.18341325,0.2401990625
0.0,0.1875,0.3125,0.01592125,0.1849509375,0.2953406875
0.0,0.1875,0.375,0.014105625,0.186488625,0.3504823125
0.0,0.1875,0.4375,0.01229,0.1880263125,0.40562393750000003
0.0,0.1875,0.5,0.010474375000000001,0.18956399999999998,0.4607655625
0.0,0.1875,0.5625,0.00865875,0.19110168749999998,0.5159071875
0.0,0.1875,0.625,0.006843125000000002,0.192639375,0.5710488125
0.0,0.1875,0.6875,0.005027500000000001,0.1941770625,0.6261904375
0.0,0.1875,0.75,0.0032118749999999995,0.19571475,0.6813320625
0.0,0.1875,0.8125,0.0013962500000000017,0.1972524375,0.7364736875
0.0,0.1875,0.875,-0.0004193749999999996,0.19879012499999998,0.7916153125000001
0.0,0.1875,0.9375,-0.0022349999999999974,0.20032781249999998,0.8467569375
0.0,0.1875,1.0,-0.004050624999999999,0.20186549999999998,0.9018985625
0.0,0.25,0.0,0.0333325,0.23635,0.02617675
0.0,0.25,0.0625,0.031516875,0.2378876875,0.081318375
0.0,0.25,0.125,0.029701250000000002,0.239425375,0.13646
0.0,0.25,0.1875,0.027885625,0.2409630625,0.191601625
0.0,0.25,0.25,0.026070000000000003,0.24250075000000001,0.24674325
0.0,0.25,0.3125,0.024254375,0.2440384375,0.30188487499999994
0.0,0.25,0.375,0.02243875,0.245576125,0.3570265
0.0,0.25,0.4375,0.020623125,0.2471138125,0.412168125
0.0,0.25,0.5,0.0188075,0.2486515,0.46730974999999997
0.0,0.25,0.5625,0.016991875,0.2501891875,0.5224513749999999
0.0,0.25,0.625,0.015176250000000002,0.251726875,0.5775929999999999
0.0,0.25,0.6875,0.013360625000000001,0.2532645625,0.632734625
0.0,0.25,0.75,0.011545,0.25480225,0.68787625
0.0,0.25,0.8125,0.009729375000000002,0.2563399375,0.7430178749999999
0.0,0.25,0.875,0.00791375,0.257877625,0.7981595
0.0,0.25,0.9375,0.006098125000000003,0.2594153125,0.853301125
